ID,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank
IR-1-O-O-U-0220,Indian Institute of Science,84.54,91.08,75.48,43.7,100,Bengaluru,Karnataka,82.16,1
IR-2-O-OE-U-0456,Indian Institute of Technology Madras,82.49,81.42,85.36,64.81,86.61,Chennai,Tamil Nadu,81.39,2
IR-3-O-OEM-U-0306,Indian Institute of Technology Bombay,81.34,85.59,81.53,48.53,79.61,Mumbai,Maharashtra,79.2,3
IR-3-O-OEM-I-1074,Indian Institute of Technology Delhi,73.38,78.67,74.91,60.96,72.79,New Delhi,Delhi,73.97,4
IR-5-O-OEMAL-U-0573,Indian Institute of Technology Kharagpur,67.96,74.57,83.99,56.16,62.12,Kharagpur,West Bengal,71.39,5
IR-1-O-O-U-0109,Jawaharlal Nehru University,74.71,42.6,99.12,79.32,46.28,New Delhi,Delhi,67.57,6
IR-3-O-OEM-I-1075,Indian Institute of Technology Kanpur,71.71,68.63,62.76,39.81,67.59,Kanpur,Uttar Pradesh,65.39,7
IR-4-O-OEMA-U-0560,Indian Institute of Technology Roorkee,65.88,61.59,85.29,58.65,37.56,Roorkee,Uttarakhand,64.93,8
IR-3-O-OMD-U-0500,Banaras Hindu University,65.15,50.76,95.42,53.13,43.62,Varanasi,Uttar Pradesh,63.52,9
IR-4-O-OEMA-U-0439,Anna University,57.31,60.76,79.15,52.55,63.22,Chennai,Tamil Nadu,62.82,10
IR-1-O-O-U-0042,University of Hyderabad,74.36,45.34,84.45,55.71,21.66,Hyderabad,Telangana,60.54,11
IR-2-O-OE-U-0053,Indian Institute of Technology Guwahati,79.25,52.13,63.2,52.97,28.01,Guwahati,Assam,60.16,12
IR-2-O-OE-U-0575,Jadavpur University,57.08,57.07,91.39,36,35.5,Kolkata,West Bengal,59.68,13
IR-1-O-O-U-0120,University of Delhi,52.52,58.16,85.14,51.26,33.15,Delhi,Delhi,58.69,14
IR-1-O-O-U-0436,Amrita Vishwa Vidyapeetham,74.05,43.56,71.03,58.27,31.44,Coimbatore,Tamil Nadu,58.46,15
IR-1-O-O-U-0323,Savitribai Phule Pune University,70.7,43.64,84.55,55.29,15.04,Pune,Maharashtra,58.24,16
IR-7-O-OEMALDC-U-0496,Aligarh Muslim University,70.28,36.87,90.56,49.03,26.3,Aligarh,Uttar Pradesh,57.78,17
IR-1-O-O-U-0234,Manipal Academy of Higher Education,76.05,44.15,61.29,64.23,26.3,Manipal,Karnataka,57.37,18
IR-5-O-OEMAL-U-0108,Jamia Millia Islamia,72.33,33.21,82.27,68.86,11.76,New Delhi,Delhi,56.18,19
IR-1-O-C-U-0447,Bharathiar University,65.54,41.7,76.95,52.63,22.63,Coimbatore,Tamil Nadu,55.08,20
IR-1-O-O-U-0570,Calcutta University,45.47,50.26,86.81,46.72,26.3,Kolkata,West Bengal,53.38,21
IR-2-O-OE-U-0013,Indian Institute of Technology Hyderabad,71.72,35.33,65.12,57.08,22.15,Hyderabad,Telangana,53.07,22
IR-1-O-D-U-0523,King George`s Medical University,83.08,29.71,62.7,59.66,3.93,Lucknow,Uttar Pradesh,52.73,23
IR-3-O-OEM-U-0490,Vellore Institute of Technology,50.3,47.42,68.43,60.02,36.71,Vellore,Tamil Nadu,52.68,24
IR-1-O-O-U-0572,Indian Institute of Science Education & Research Kolkata,70.87,35.6,65.91,62.92,11.13,Mohanpur,West Bengal,52.52,25
IR-3-O-OEP-U-0391,Birla Institute of Technology & Science - Pilani,61.02,35.56,69.33,57.73,35.32,Pilani,Rajasthan,52.15,26
IR-2-O-OE-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,54.46,44.24,74.36,61.08,14.46,Dhanbad,Jharkhand,52.04,27
IR-1-O-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,57.85,48.53,67,42.5,22.87,Varanasi,Uttar Pradesh,51.85,28
IR-1-O-O-I-1357,University of Madras,66.06,33.4,68.6,53.07,26.52,Chennai,Tamil Nadu,51.52,29
IR-3-O-OEP-U-0308,Institute of Chemical Technology,53.82,48.52,69.18,52.55,15.9,Mumbai,Maharashtra,51.39,30
IR-2-O-OE-U-0467,National Institute of Technology Tiruchirappalli,57.09,34.41,69.99,60.81,38.55,Tiruchirappalli,Tamil Nadu,51.38,31
IR-1-O-O-U-0305,Indian Institute of Science Education & Research Pune,66.57,33.04,61.4,62.86,25.85,Pune,Maharashtra,51.04,32
IR-6-O-OEMLDP-U-0078,Panjab University,52.59,44.75,73.16,47.52,23.58,Chandigarh,Chandigarh,50.94,33
IR-1-O-M-S-8972,Indian Institute of Management Calcutta,82.44,14.54,61.99,66.05,27.8,Kolkata,West Bengal,50.87,34
IR-1-O-O-U-0446,Bharath Institute of Higher Education & Research,70.22,29.22,63.76,79.16,2.4,Chennai,Tamil Nadu,50.74,35
IR-6-O-OEMALP-U-0006,Andhra University,65.98,25.12,83.14,54.75,9.53,Visakhapatnam,Andhra Pradesh,50.39,36
IR-5-O-OEMDP-U-0107,Jamia Hamdard,67.67,32.29,74.48,52.2,2.01,New Delhi,Delhi,50.31,37
IR-2-O-OD-U-0363,Siksha `O` Anusandhan,74.34,23.4,66.21,63.07,7.17,Bhubaneswar,Odisha,49.59,38
IR-2-O-OE-U-0139,Indian Institute of Technology Gandhinagar,73.72,27.29,56.79,60.47,15.9,Gandhinagar,Gujarat,49.31,39
IR-1-O-O-U-0485,Tamil Nadu Agricultural University,78.6,12.99,75.58,54.06,12.07,Coimbatore,Tamil Nadu,49.22,40
IR-1-O-O-U-0304,Homi Bhabha National Institute,84.14,14.18,70.13,44.74,9.85,Mumbai,Maharashtra,48.98,41
IR-2-O-OE-U-0357,National Institute of Technology Rourkela,55.85,41.93,69.73,43.4,9.85,Rourkela,Odisha,48.62,42
IR-1-O-C-U-0435,Alagappa University,65.74,22.27,70.4,53.19,24.5,Karaikudi,Tamil Nadu,48.25,43
IR-2-O-OE-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",60.01,35.5,64.06,43.37,22.63,Howrah,West Bengal,48.06,44
IR-1-O-O-U-0027,Osmania University,55.09,25.9,93.35,44.69,5.76,Hyderabad,Telangana,48.02,45
IR-1-O-O-U-0056,Tezpur University,66.61,30.54,65.26,47.3,10.82,Tezpur,Assam,48,46
IR-1-O-O-U-0260,Kerala University,65.16,19.8,83.76,47.6,7.17,Thiruvananthapuram,Kerala,47.72,47
IR-1-O-O-U-0589,Visva Bharati,63.49,27.44,72.24,53.87,5.03,Kolkata,West Bengal,47.62,48
IR-1-O-O-U-0331,Tata Institute of Social Sciences,68.98,9.77,78.3,71.56,10.18,Mumbai,Maharashtra,47.46,49
IR-2-O-EM-I-1480,Thapar Institute of Engineering and Technology,58.24,34.97,65.36,57.27,3.55,Patiala,Punjab,47.11,50
IR-2-O-OE-U-0355,Indian Institute of Technology Bhubaneswar,70.95,28.14,52.36,59.78,8.87,Bhubaneswar,Odisha,47.07,51
IR-1-O-O-U-0262,Mahatma Gandhi University,64.21,22.89,72.84,51.76,6.82,Kottayam,Kerala,46.56,52
IR-1-O-O-U-0554,G. B. Pant Universtiy of Agriculture and Technology,72.14,15.04,75.45,48.16,5.03,Pantnagar,Uttarakhand,46.56,52
IR-4-O-OEML-U-0476,Shanmugha Arts Science Technology & Research Academy,53.44,34.57,64.43,58.95,11.45,Thanjavur,Tamil Nadu,46.33,54
IR-1-O-O-U-0377,Indian Institute of Science Education and Research Mohali,63.32,21.34,63.29,65.05,16.73,Mohali,Punjab,46.24,55
IR-1-O-O-U-0272,Indian Institute of Science Education & Research Bhopal,61.55,26.6,62.83,63.71,7.86,Bhopal,Madhya Pradesh,46.17,56
IR-2-O-OE-U-0237,"National Institute of Technology Karnataka, Surathkal",52.66,29.51,68.64,51.71,25.85,Surathkal,Karnataka,46.14,57
IR-1-O-O-U-0254,Indian Institute of Science Education & Research Thiruvananthapuram,69.8,20.45,59.51,47.58,22.39,Thiruvananthapuram,Kerala,45.97,58
IR-2-O-OP-U-0222,JSS Academy of Higher Education and Research,69,17.24,61.89,68.65,6.47,Mysore,Karnataka,45.76,59
IR-1-O-O-U-0381,Punjab Agricultural University,80.46,19.35,54.02,42.72,5.4,Ludhiana,Punjab,45.56,60
IR-1-O-O-U-0052,Gauhati University,64.91,19.8,74.9,44.44,6.11,Guwahati,Assam,45.44,61
IR-3-O-ODP-I-1486,Sri Ramachandra Medical College and Research Institute,76.9,19.5,51.41,55.1,5.76,Chennai,Tamil Nadu,45.29,62
IR-5-O-OEMDP-U-0473,S.R.M. Institute of Science and Technology,56.87,28.54,64.68,57.57,8.53,Chennai,Tamil Nadu,45.17,63
IR-3-O-OEM-C-37013,PSG College of Technology,62.6,16.92,61.14,49.77,38.71,Coimbatore,Tamil Nadu,44.94,64
IR-5-O-OEMLD-U-0356,Kalinga Institute of Industrial Technology,57.32,22.53,69.57,65.94,3.55,Bhubaneswar,Odisha,44.81,65
IR-5-O-OEMAP-U-0202,Birla Institute of Technology,57.73,29.45,61.31,52.43,10.5,Ranchi,Jharkhand,44.71,66
IR-1-O-O-U-0329,Symbiosis International,69.88,12.46,60.9,71.23,6.11,Pune,Maharashtra,44.62,67
IR-4-O-OEMA-U-0474,Sathyabama Institute of Science and Technology,52.38,29.43,65.31,63.14,4.3,Chennai,Tamil Nadu,44.34,68
IR-2-O-OE-U-0064,Indian Institute of Technology Patna,67.81,25.42,52.87,49.93,7.17,Patna,Bihar,44.25,69
IR-2-O-OD-I-1441,Saveetha Institute of Medical and Technical Sciences,65.4,18.67,60.34,63.92,3.17,Chennai,Tamil Nadu,44,70
IR-1-O-O-U-0196,University of Kashmir,62.39,20.08,77.61,36.99,0,Srinagar,Jammu and Kashmir,43.96,71
IR-1-O-O-U-0642,Shiv Nadar University,69.21,12.55,60.17,71.18,0,Chithera,Uttar Pradesh,43.68,72
IR-1-O-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,62.51,20.31,62.21,52.43,10.82,Kancheepuram,Tamil Nadu,43.6,73
IR-2-O-OE-U-0037,Sri Venkateswara University,60.43,25.94,61.66,50.03,2.01,Tirupati,Andhra Pradesh,43.44,74
IR-1-O-D-C-45515,PSG Institute of Medical Sciences & Research,82.71,2.12,58.65,50.06,10.5,Coimbatore,Tamil Nadu,43.24,75
IR-1-O-O-U-0159,Chaudhary Charan Singh Haryana Agricultural University,78.3,8.04,65.06,41.03,2.01,Hisar,Haryana,43.21,76
IR-3-O-OML-U-0195,University of Jammu,65.22,18.9,69.46,39.44,1.22,Jammu Tawi,Jammu and Kashmir,43.19,77
IR-2-O-OE-U-0025,National Institute of Technology Warangal,56.18,22.73,67.06,54.72,6.11,Warangal,Telangana,43.16,78
IR-2-O-OD-I-1110,Dr. D. Y. Patil Vidyapeeth,76.37,8.25,56.74,62.9,1.22,Pune,Maharashtra,43.15,79
IR-6-O-OEMALP-U-0497,Amity University,48.75,30.1,62.95,62.11,5.4,Gautam Budh Nagar,Uttar Pradesh,42.99,80
IR-1-O-O-U-0463,Madurai Kamaraj University,61.57,28.03,49.87,45.12,16.18,Madurai,Tamil Nadu,42.98,81
IR-6-O-OEMAPC-N-10,SVKM`s Narsee Monjee Institute of Management Studies,65.29,12.61,63.9,65.69,0.81,Mumbai,Maharashtra,42.8,82
IR-2-O-EM-U-0020,Koneru Lakshmaiah Education Foundation University,65.81,15.23,62.65,59.43,0,Vaddeswaram,Andhra Pradesh,42.78,83
IR-1-O-O-U-0225,KLE Academy of Higher Education and Research,74.67,11.37,50.08,66.52,2.79,Belagavi,Karnataka,42.76,84
IR-1-O-O-U-0246,University of Agricultural Sciences,73.71,2.64,70.63,54.04,1.22,Dharwad,Karnataka,42.55,85
IR-3-O-OEM-U-0369,Pondicherry University,46.64,26.49,69.92,49.6,14.76,Puducherry,Pondicherry,42.36,86
IR-1-O-O-U-0376,Guru Nanak Dev University,44.09,31.78,70.3,48.22,7.17,Amritsar,Punjab,42.36,86
IR-1-O-O-U-0341,North Eastern Hill University,64.85,13.43,70.21,43.1,5.03,Shillong,Meghalaya,42.34,88
IR-1-O-D-U-0036,Sri Venkateswara Institute of Medical Sciences,77.09,3,64.64,53.34,0.41,Tirupati,Andhra Pradesh,42.33,89
IR-2-O-OE-U-0507,Dayalbagh Educational Institute,64.14,5.05,69.03,61.36,12.38,Agra,Uttar Pradesh,41.95,90
IR-4-O-OEMP-U-0389,Banasthali Vidyapith,47.08,14.16,82.05,66.66,4.3,Banasthali,Rajasthan,41.88,91
IR-1-O-O-U-0487,Tamil Nadu Veterinary & Animal Sciences University,74.76,7.95,58.9,47.51,3.93,Chennai,Tamil Nadu,41.73,92
IR-1-O-O-I-1361,Bharati Vidyapeeth,58.92,16.06,61.04,55.26,14.76,Pune,Maharashtra,41.71,93
IR-1-O-O-U-0448,Bharathidasan University,57.01,29.21,48.45,34.45,26.3,Tiruchirappalli,Tamil Nadu,41.63,94
IR-3-O-OEA-C-26794,Thiagarajar College of Engineering,57.09,19.19,61.91,46.95,14.46,Madurai,Tamil Nadu,41.41,95
IR-1-O-E-C-41593,College of Engineering,55.86,17.22,62.43,51.12,12.07,Pune,Maharashtra,40.74,96
IR-1-O-D-C-47762,Mahatma Gandhi Medical College and Research Institute,72.43,5.83,50.15,69.66,2.4,Puducherry,Pondicherry,40.72,97
IR-1-O-O-U-0121,Goa University,59.83,13.77,66.09,51.58,2.01,Goa,Goa,40.66,98
IR-1-O-O-U-0253,Cochin University of Science and Technology,47.72,24.36,62.94,44.19,18.88,Cochin,Kerala,40.53,99
IR-2-O-OE-U-0098,Delhi Technological University,47.77,24.12,62.86,48.83,15.04,New Delhi,Delhi,40.52,100
