ID,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank
IR17-I-2-18243,Indian Institute of Science,83.11,87.59,87.97,61.48,83.33,Bengaluru,Karnataka,83.28,1
IR17-I-1-1-77,Indian Institute of Technology Madras,69.49,72.6,84.02,76.75,68.7,Chennai,Tamil Nadu,73.97,2
IR17-I-2-18633,Indian Institute of Technology Bombay,64.68,78.14,70.07,65.8,83.44,Mumbai,Maharashtra,71.78,3
IR17-I-2-18630,Indian Institute of Technology Kharagpur,55.07,70.46,85.11,72.85,64.72,Kharagpur,West Bengal,68.43,4
IR17-I-2-1-79,Indian Institute of Technology Delhi,55.45,68.48,65.92,68.69,69.53,New Delhi,Delhi,64.18,5
IR17-I-2-1-319,Jawaharlal Nehru University,62.11,33.96,98.71,82.4,47.27,New Delhi,Delhi,61.53,6
IR17-I-2-18248,Indian Institute of Technology Kanpur,60.07,62.14,58.34,60.01,63.62,Kanpur,Uttar Pradesh,60.69,7
IR17-I-2-1-251,Indian Institute of Technology Guwahati,65.53,47.46,78.28,79.28,28.79,Guwahati,Assam,60.37,8
IR17-I-2-18677,Indian Institute of Technology Roorkee,52.24,56.6,83.38,72.7,32.38,Roorkee,Uttarakhand,59.84,9
IR17-I-2-18500,Banaras Hindu University,47.85,49.96,94.36,62.97,44.01,Varanasi,Uttar Pradesh,58.92,10
IR17-I-2-30673,Jawaharlal Nehru Centre for Advanced Scientific Research,78.28,51.93,68.79,47.44,6.92,Bengaluru,Karnataka,58.25,11
IR17-I-2-10326,Jadavpur University,48.64,54.09,91.42,53.37,28.81,Kolkata,West Bengal,57.32,12
IR17-I-2-18292,Anna University,46.25,54.58,79.31,60.01,43.94,Chennai,Tamil Nadu,56.5,13
IR17-I-2-1-2813521158,University of Hyderabad,57.3,42.77,78.79,78.13,27.06,Hyderabad,Telangana,56.3,14
IR17-I-2-18552,University of Delhi,43.48,56.61,82.06,58.6,30.76,Delhi,Delhi,55.37,15
IR17-I-2-18267,Amrita Vishwa Vidyapeetham,62.9,39.49,65.77,82.17,26.12,Coimbatore,Tamil Nadu,54.7,16
IR17-I-1-18698,Indian Institute of Management Ahmedabad,78.14,13.85,62.91,80.97,59.91,Ahmedabad,Gujarat,54.27,17
IR17-I-2-1-618,Savitribai Phule Pune University,56.39,35.03,85.13,72.26,11.2,Pune,Maharashtra,52.81,18
IR17-I-2-18189,Aligarh Muslim University,58.56,36.2,87.43,51.55,16.62,Aligarh,Uttar Pradesh,52.74,19
IR17-I-2-1-2814289415,Jamia Millia Islamia,58.98,27.99,81.63,83.55,9.73,New Delhi,Delhi,51.75,20
IR17-I-2-18599,Birla Institute of Technology & Science - Pilani,54.83,31.26,73.88,58.5,49.96,Pilani,Rajasthan,51.46,21
IR17-I-2-18572,Vellore Institute of Technology,41.65,42.87,75.57,75.99,32.95,Vellore,Tamil Nadu,51.36,22
IR17-I-2-1-243,Indian Agricultural Research Institute,58.22,33.6,74.11,76.79,11.52,New Delhi,Delhi,51.2,23
IR17-I-2-1-346,Indian Institute of Technology Indore,65.42,32.43,63.5,74.58,7.17,Indore,Madhya Pradesh,50.23,24
IR17-I-1-1-217,Indian Institute of Management Bangalore,68.62,12.47,63.57,83.53,38.72,Bengaluru,Karnataka,49.26,25
IR17-I-2-1-345,Indian Institute of Technology Hyderabad,63.51,28.02,62.91,72.21,18.06,Hyderabad,Telangana,49.07,26
IR17-I-2-18606,Calcutta University,36.34,44.1,95.76,39.02,17.15,Kolkata,West Bengal,48.9,27
IR17-I-2-15598,Tamil Nadu Agricultural University,77.67,12.56,75.33,63.48,3.53,Coimbatore,Tamil Nadu,48.84,28
IR17-I-1-18637,Indian Institute of Science Education & Research Pune,63.94,28.43,52.74,76.1,24.13,Pune,Maharashtra,48.28,29
IR17-I-2-18364,Manipal Academy of Higher Education,64.76,29.31,58.66,55.51,27.67,Manipal,Karnataka,48.27,30
IR17-I-2-18581,Visva Bharati,53.56,25.23,86.74,67.26,4.71,Kolkata,West Bengal,48.19,31
IR17-I-2-1-340,Indian Institute of Technology Ropar,66.25,24.68,62.91,75.73,4.07,Rupnagar,Punjab,47.84,32
IR17-I-2-1-624,Siksha `O` Anusandhan,63.31,17.17,66.02,78.18,15.57,Bhubaneswar,Odisha,46.72,33
IR17-I-1-1-370,National Institute of Technology Tiruchirappalli,44.43,31.32,71.92,73.68,20.92,Tiruchirappalli,Tamil Nadu,46.57,34
IR17-I-2-18230,Homi Bhabha National Institute,79.17,8.75,66.98,58.08,8.7,Mumbai,Maharashtra,46.45,35
IR17-I-2-18559,Bharath Institute of Higher Education & Research,59.33,23.12,63.42,86.49,3.79,Chennai,Tamil Nadu,46.45,35
IR17-I-2-18639,Indian Institute of Technology Mandi,68.77,16.43,61.11,74.31,4.06,Mandi,Himachal Pradesh,45.62,37
